loss now: tensor(1504.3779, grad_fn=<AddBackward0>)
loss now: tensor(1496.6425, grad_fn=<AddBackward0>)
loss now: tensor(1488.2955, grad_fn=<AddBackward0>)
loss now: tensor(1483.0305, grad_fn=<AddBackward0>)
loss now: tensor(1481.7332, grad_fn=<AddBackward0>)
loss now: tensor(1481.6320, grad_fn=<AddBackward0>)
loss now: tensor(1480.7317, grad_fn=<AddBackward0>)
loss now: tensor(1477.5511, grad_fn=<AddBackward0>)
loss now: tensor(1472.8304, grad_fn=<AddBackward0>)
loss now: tensor(1468.8881, grad_fn=<AddBackward0>)
loss now: tensor(1467.3340, grad_fn=<AddBackward0>)
loss now: tensor(1467.7656, grad_fn=<AddBackward0>)
loss now: tensor(1469.1394, grad_fn=<AddBackward0>)
loss now: tensor(1469.6744, grad_fn=<AddBackward0>)

Week 18 finished!

loss now: tensor(1479.5653, grad_fn=<AddBackward0>)
loss now: tensor(1476.7939, grad_fn=<AddBackward0>)
loss now: tensor(1474.2513, grad_fn=<AddBackward0>)
loss now: tensor(1474.1511, grad_fn=<AddBackward0>)
loss now: tensor(1475.1097, grad_fn=<AddBackward0>)
loss now: tensor(1470.3590, grad_fn=<AddBackward0>)
loss now: tensor(1460.1229, grad_fn=<AddBackward0>)
loss now: tensor(1451.8528, grad_fn=<AddBackward0>)
loss now: tensor(1448.5359, grad_fn=<AddBackward0>)
loss now: tensor(1447.5194, grad_fn=<AddBackward0>)
loss now: tensor(1444.9218, grad_fn=<AddBackward0>)
loss now: tensor(1441.1572, grad_fn=<AddBackward0>)
loss now: tensor(1438.3662, grad_fn=<AddBackward0>)
loss now: tensor(1436.1664, grad_fn=<AddBackward0>)
loss now: tensor(1433.7155, grad_fn=<AddBackward0>)
loss now: tensor(1430.3610, grad_fn=<AddBackward0>)
loss now: tensor(1427.1533, grad_fn=<AddBackward0>)
loss now: tensor(1423.7655, grad_fn=<AddBackward0>)
loss now: tensor(1420.9423, grad_fn=<AddBackward0>)
loss now: tensor(1419.2587, grad_fn=<AddBackward0>)

Week 19 finished!

loss now: tensor(1448.9127, grad_fn=<AddBackward0>)
loss now: tensor(1446.1589, grad_fn=<AddBackward0>)
loss now: tensor(1443.3401, grad_fn=<AddBackward0>)
loss now: tensor(1439.8511, grad_fn=<AddBackward0>)
loss now: tensor(1436.8661, grad_fn=<AddBackward0>)
loss now: tensor(1434.6354, grad_fn=<AddBackward0>)
loss now: tensor(1432.3855, grad_fn=<AddBackward0>)
loss now: tensor(1430.4757, grad_fn=<AddBackward0>)
loss now: tensor(1429.2103, grad_fn=<AddBackward0>)
loss now: tensor(1430.2250, grad_fn=<AddBackward0>)
loss now: tensor(1434.2981, grad_fn=<AddBackward0>)
loss now: tensor(1440.5962, grad_fn=<AddBackward0>)
loss now: tensor(1447.8402, grad_fn=<AddBackward0>)
loss now: tensor(1448.3989, grad_fn=<AddBackward0>)
loss now: tensor(1439.6538, grad_fn=<AddBackward0>)
loss now: tensor(1421.7385, grad_fn=<AddBackward0>)
loss now: tensor(1409.9156, grad_fn=<AddBackward0>)
loss now: tensor(1411.4652, grad_fn=<AddBackward0>)
loss now: tensor(1417.6584, grad_fn=<AddBackward0>)
loss now: tensor(1416.9382, grad_fn=<AddBackward0>)

Week 20 finished!

loss now: tensor(1406.4694, grad_fn=<AddBackward0>)
loss now: tensor(1397.2599, grad_fn=<AddBackward0>)
loss now: tensor(1397.5835, grad_fn=<AddBackward0>)
loss now: tensor(1399.9929, grad_fn=<AddBackward0>)
loss now: tensor(1397.9792, grad_fn=<AddBackward0>)
loss now: tensor(1390.7886, grad_fn=<AddBackward0>)
loss now: tensor(1385.0679, grad_fn=<AddBackward0>)
loss now: tensor(1384.1591, grad_fn=<AddBackward0>)
loss now: tensor(1384.5488, grad_fn=<AddBackward0>)
loss now: tensor(1381.6898, grad_fn=<AddBackward0>)
loss now: tensor(1376.5146, grad_fn=<AddBackward0>)
loss now: tensor(1373.2686, grad_fn=<AddBackward0>)
loss now: tensor(1372.5421, grad_fn=<AddBackward0>)
loss now: tensor(1371.7261, grad_fn=<AddBackward0>)
loss now: tensor(1369.1425, grad_fn=<AddBackward0>)
loss now: tensor(1365.8284, grad_fn=<AddBackward0>)
loss now: tensor(1363.8895, grad_fn=<AddBackward0>)
loss now: tensor(1363.4841, grad_fn=<AddBackward0>)
loss now: tensor(1363.4698, grad_fn=<AddBackward0>)
loss now: tensor(1363.7102, grad_fn=<AddBackward0>)

Week 21 finished!

loss now: tensor(1370.5941, grad_fn=<AddBackward0>)
loss now: tensor(1363.5111, grad_fn=<AddBackward0>)
loss now: tensor(1356.0901, grad_fn=<AddBackward0>)
loss now: tensor(1351.8204, grad_fn=<AddBackward0>)
loss now: tensor(1350.8831, grad_fn=<AddBackward0>)
loss now: tensor(1351.3752, grad_fn=<AddBackward0>)
loss now: tensor(1349.0155, grad_fn=<AddBackward0>)
loss now: tensor(1343.6521, grad_fn=<AddBackward0>)
loss now: tensor(1338.2041, grad_fn=<AddBackward0>)
loss now: tensor(1335.7985, grad_fn=<AddBackward0>)
loss now: tensor(1335.3772, grad_fn=<AddBackward0>)
loss now: tensor(1335.0455, grad_fn=<AddBackward0>)
loss now: tensor(1333.7714, grad_fn=<AddBackward0>)
loss now: tensor(1331.8383, grad_fn=<AddBackward0>)
loss now: tensor(1328.5199, grad_fn=<AddBackward0>)
loss now: tensor(1324.6649, grad_fn=<AddBackward0>)
loss now: tensor(1321.2087, grad_fn=<AddBackward0>)
loss now: tensor(1319.0070, grad_fn=<AddBackward0>)
loss now: tensor(1318.1317, grad_fn=<AddBackward0>)
loss now: tensor(1317.8534, grad_fn=<AddBackward0>)

Week 22 finished!

loss now: tensor(1355.9580, grad_fn=<AddBackward0>)
loss now: tensor(1357.6919, grad_fn=<AddBackward0>)
loss now: tensor(1364.1147, grad_fn=<AddBackward0>)
loss now: tensor(1377.1558, grad_fn=<AddBackward0>)
loss now: tensor(1394.8048, grad_fn=<AddBackward0>)
loss now: tensor(1405.4595, grad_fn=<AddBackward0>)
loss now: tensor(1384.1302, grad_fn=<AddBackward0>)
loss now: tensor(1362.2338, grad_fn=<AddBackward0>)
loss now: tensor(1373.4159, grad_fn=<AddBackward0>)
loss now: tensor(1397.9237, grad_fn=<AddBackward0>)
loss now: tensor(1386.9899, grad_fn=<AddBackward0>)
loss now: tensor(1346.7058, grad_fn=<AddBackward0>)
loss now: tensor(1345.4707, grad_fn=<AddBackward0>)
loss now: tensor(1357.2076, grad_fn=<AddBackward0>)
loss now: tensor(1341.2559, grad_fn=<AddBackward0>)
loss now: tensor(1335.9927, grad_fn=<AddBackward0>)
loss now: tensor(1340.7604, grad_fn=<AddBackward0>)
loss now: tensor(1329.8528, grad_fn=<AddBackward0>)
